Question,Answer,Explanation
Apoptotic bodies are,Ans. (c) Cell membrane bound with organelles,"(Ref: Robbins 9th/pg 52; 8th/pg 25)   Apoptotic cells break up into fragments, called apoptotic  bodies, which contain portions of the cytoplasm and  nucleus. The plasma membrane of the apoptotic cell and  bodies remains intact, but its structure is altered in such a  way that these become ?tasty? targets for phagocytes. 69."
?Caspase-independent? programmed cell death,Ans. (b) Necroptosis,(Ref: Robbins 9th/pg 58-59)   Necroptosis is triggered by ligation of TNFR1 and Viral  proteins of RNA and DNA viruses.Q 70.
Fibrinoid necrosis is seen in,Ans. (a) Malignant HTN,"(Ref: 9th/pg 44; 8th/pg 15,16) 71."
Immune complexes mediated necrosis is of which type,Ans. (d) Fibrinoid necrosis,(Ref: Robbins 9th/pg 44) 72.
Which one of the following is an antiapoptotic protein/ gene,Ans. (b) BCL-2,"(Ref: Robbins 9th/pg 55; 8th/pg 28) Anti-apoptotic.  Pro-apoptotic Sensors BCL2, BCL-XL,   and MCL1 BAX and BAK BAD, BIM, BID,  Puma, and Noxa 73."
Coagulative necrosis is due to,Ans. (a) Denaturation of protein,(Ref: Robbins 9th/pg 50)  ? Coagulative necrosis: most common type of necrosis  ? Occurs due to degenerated cytoplasmic proteins 74.
Fat necrosis is common in,Ans. (d) All,"(Ref: Robbins 9th/pg 43; 8th/pg 15,16)  ? Fat necrosis  ? Not a specific pattern of necrosis.Q  ? Signifies focal areas of fat destruction   ? Released lipases split the triglyceride esters  contained within fat cells.  ? The fatty acids, so derived, combine with  calcium to produce grossly visible chalky- white areas (fat saponification)Q  ? Seen in acute pancreatitis, breast, omentumQ 75."
"In apoptosis, cytochrome C acts through",Ans. (a) Apaf 1,"(Ref: Robbins 9th/pg 54-55; 8th/pg 29) Leakage of cytochrome c, other proteins form the inner  mitochondrial membrane to cytosol ? Cytochrome C binds to APAF-1Q ? Activation of caspase-9-critical initiator caspase of the  mitochondrial pathway 76."
Which of the following is not seen in apoptosis,Ans. (c) Inflammation,"(Ref: Robbins 9th/pg 53; 8th/pg 25,26)  ? Apoptosis  in  contrast  to  necrosis  doesn?t elicit  inflammationQ. 77."
CD 95 is a marker of,Ans. (b) Extrinsic pathway of apoptosis,"(Ref: R 9th/pg 53)   The extrinsic pathway of apoptosis is activated by cross- linking members of the tumor necrosis factor (TNF) receptor  superfamily, such as CD95 (Fas) and death receptors DR4  and DR5, by their receptors, Fas ligand or TRAIL (TNF- related apoptosis-inducing ligand), respectively. 78."
Apoptosis- all are true except,Ans. (d) Causes inflammation that damage  surrounding cells,"(Ref: Robbins 9th/pg 53; 8th/pg 25, 26)   Blebbing or zeiosis is the formation of blebs, it is seen in  apoptotosis to form apoptotic bodies 79."
Apoptosis does not occur by normal capsase pathway in,Ans. (c) Neurons,(Ref: The Central Nervous System in  Pediatrics Critical Illness page 13) 80.
Type of necrosis in Myocarial Infacrction,Ans. (b) Coagulative,"(Ref: Robbins 9th/pg 43; 8th/pg 15, 16)   MC type of necrosis in Myocarial Infacrction- coagulative 81."
Which of the following organelles plays a pivotal role in apoptosis,Ans. (a) Mitochondria,(Ref: Essential of apoptosis 2003:245)   Mitochondria is the most important organelle involved  in apoptosis initiation and regulation. 82.
Which of the following has a direct role in apoptosis,Ans. (d) Cytochrome C,"(Ref: R 9th/pg 53-54; 8th/pg 28, 29) Complete Review of Pathology 46 Answers with Explanations 83."
Apoptosis is inhibited by,Ans. (d) Bcl-2,(Ref: Robbins 9th/pg 55; 8th/pg 28) 84.
Characteristic feature of apoptosis,Ans. (a) Cell membrane intact,"(Ref: Robbins 9th/pg 53)  ? Most characteristic feature is condensation of nuclear  chromatin  ? Intact cell membrane and lack of inflammation  differentiates apoptosis from necrosis  ? Nuclear molding is seen in small cell carcinoma, lung  ? Cytoplasmic eosinophilia- nonspecific finding. Occurs  both in necrosis and apoptosis  ? If we have to mark one: mark a since that occurs  exclusively in apoptosis 85."
The characteristic feature of apoptosis on light microscopy is,Ans. (b) Nuclear compaction,"(Ref: Robbins 9th/pg 53)   Here student gets confused in 2 options b and c..  ? On light microscopy, most characteristic feature is  condensation of nuclear chromatin and not intactness of  cell membrane  ? Intact cell membrane and lack of inflammation differen- tiates apoptosis from necrosis. 86."
"All of the following are features of apoptosis, except",Ans. (a) Cellular swelling,"(Ref: R 9th/pg 53; 8th/pg 25,26)   Cellular shrinkage and not cellular swelling is a feature  of apoptosis 87."
Coagulative necrosis is seen in,Ans. (a) TB,"(Ref: Robbins 9th/pg 43?; 8th/pg 15,16)   Type of necrosis in TB: Caseous necrosis.   Caseous necrosis is a variant of coagulative necrosis 88."
Caspases are associated with,Ans. (a) Organogenesis,"(Ref:http://onlinelibrary.wiley.com/doi/10.1002/bdra.10090/ abstract)   Caspases are key mediators in the regulation and execution  of apoptosis, a crucial part of the morphogenetic process  during limb development. 89."
True about apoptosis,"Ans. (b, c, d); b. Increase in caspases; c. Phosphatidyl  serine has important role; d. Internucleosomal cleavage  of nucleus","(Ref: Robbins 9th/pg 56; 8th/pg 30)  ? In healthy cells, phosphatidylserine is present on the  inner leaflet of the plasma membrane, but in apoptotic  cells this phospholipid ?flips? out and is expressed on  the outer layer of the membrane, where it is recognized  by several macrophage receptors.  ? Apoptosis occurs due to activation of enzymes called  caspases (cysteine proteases that cleave proteins af- ter aspartic residues)Q.  ? Apoptotic cell exhibit a characteristic breakdown of  DNA into large 50 to 300 kilobase piece. Subsequently  there is internucleosomal cleavageQ of DNA into  oligonucleosomes, in multiples of 180 to 200 base  pairsQ, by Ca2+ & Mg2+ dependent endonucleasesQ.  The fragments may be visualized by agarose gel  electrophoresisQ as DNA laddersQ. 90."
"In apoptosis, permeabilization of membrane occur in",Ans.,(e) Mitochondrial membrane  (Ref: Robbins 9th/pg 56)   Mitochondrial membrane permeabilization is hallmark of  apoptosis 91.
Dystrophic calcification is seen in,Ans. (d) Myositis ossificans,(Ref: Robbins 9th ed/pg 65) 92.
Dystrophic calcification is/are found in,"Ans. (a, b, c); a. Monckeberg?s medial sclerosis;  b. Papillary carcinoma thyroid; d. Meningioma Hyperparathyroidism and Vitamin D intoxication cause  hypercalcemia and so are associated with dystrophic  calcification. 93.",No explanation provided.
Given below is the histopathology of liver biopsy of hemochromatosis.Which of the following stain is used,Ans. (c) Prussian blue,"(Ref: Complete review of pathology and Hematology 2nd  ed; Praveen Kumar, Vandana Puri Annexure 4)   This is a straight forward question on the stain used for  Iron in tissue (Hemochromatosis) which is Prussian blue  stain. 94."
Which of the following stain and the material stained by it is correct,"Ans. (a, c, d) a. Perl stain-Iron; c. Elastin-VG; d. Copper- rhodamine","(Ref: Complete Review of Pathology and Hematology 2nd  ed; Praveen Kumar, Vandana Puri Annexure 4) 95."
Tiggered myocardium is deposition of,Ans. (a) Fat,(Ref: Robbins 9th/pg 62)   FAT accumulation in myocardium causes fatty change  (tigered effect) 96.
Psammoma bodies are absent in,Ans. (d) Seminoma,"(Ref: Robbins 9th/pg 65; 8th/pg 38)   Psammoma bodies are type of dystrophic calcification  seen in - Meningioma, Papillary carcinoma of thyroid, ovary  (serous carcinoma), prolactinoma, Somatostatinoma,  mesothelioma 97."
Principle of Prussian blue stain,Ans. (b) Ferrocyanide to ferroferric cyanide,"(Ref: Dacie and Lewis Practical Haematology 11thed, pg 338)   Hemosiderin reacts with potassium ferrocyanide to form  a blue compound, ferri ferrocyanide; this reaction is the  basis of a positive Prussian-blue (Perls?) reaction. 98."
Metastatic calcification seen in all except,Ans. (c) Atherosclerosis,(Ref: Robbins 9th/pg 65; 8th/pg 38)   Atheromatous plaque shows Dystrophic calcification   All others are causes of metastatic calcification 99.
Intracellular calcification begins in,Ans. (d) Mitochondria,(Ref: Robbins 9th/pg 62; 8th/pg 33)   Foam cells - cholesterol-laden macrophages 100.
Most commonly involved organ in metastatic calcification,Ans. (c) Lungs,"(Ref: Robbins 9th/pg 65; 8th/pg 38)   Metastaic calcification is seen most commonly in lungs  followed by kidneys 47 Chapter 2 ? Cell Adaptation, Injury and Death Answers with Explanations 101."
The following is not a disease caused by misfolding of proteins,Ans. (b) Parkinsons disease,"(Ref: https://en.wikipedia.org/wiki/Proteopathy)   Answer should be none; but if we have to mark one go for b.  as a, c, d are well known proteinopathies whereas b is still  in phase of research.    The proteopathies (also known as proteinopathies,  protein conformational disorders, or protein misfolding  diseases) include - Alzheimer?s disease, Prion diseases,  Parkinson?s disease, Huntington?s disease, Cystic Fibrosis,  AL (light chain) amyloidosis 102."
Intracellular calcification begins in,Ans. (d) Mitochondria,(Ref: Robbins 9th/pg 65; 8th/pg 38) 103.
"A patient died of alzheimer?s disease. At autopsy, heart contains yellow brown finely granular pigment which are/due to",Ans. (b) Lipochrome-wear and tear,"(Ref: Robbins 9th/pg 64; 8th/pg 37)  ? Lipofuschin: PerinuclearQ brown-coloured pigment,  Seen in agingQ, protein energy malnutritionQ and  cancer cahcexia. 104."
Stain for fat all except,Ans. (d) Congo red,"(Ref: Bancroft theory and practice of  histological stains 7th ed, pg 165) 105."
Psammoma bodies features are all except,Ans. (d) Seen in teratoma,"(Ref: R 9th/pg 65; 8th/pg 38)  ? Psammoma bodies (PBs) are concentric lamellated  calcified structures, observed most commonly in  papillary thyroid carcinoma (PTC), meningioma, and  papillary serous cystadenocarcinoma of ovary  ? They represent a process of dystrophic calcification 106."
Dystrophic calcification is seen in,Ans. (a) Dying tissue,(Ref: Robbins 9th/pg 65; 8th/pg 38) 107.
Steatosis means,"Ans. (a, b) a. Fatty change; b. Accumulation of  triglyceride","(Ref: Robbins 9th/pg 62; 8th/pg 33)   Steatosis (Fatty Change): accumulations of triglycerides  within parenchymal cells    Organs involved-liver, heart, muscle, and kidney 108."
Dystrophic calcification is seen in all except,"Ans. (b, c) b. Lungs; c. Kidneys",(Ref: Robbins 9th/pg 65)   Dystrophic calcification occurs in dead and damaged  tissues and not in normal organs 109.
Oncocytes are found in all except,Ans. (d) Pineal,"(Ref: Rosai and Ackerman?s Surgical Pathology 10ed volume  2.. Pathol Annu. 1992; 27(Pt 1):263-304)  ? Oncocyte is an epithelial cell characterized by an  excessive amount of mitochondria  ? Characterized by abundant acidophilic, granular  cytoplasm  ? Other names: Oxyphilic cell, Askanazy cell, HÅrthle cell  (thyroid gland only), Apocrine metaplasia (breast gland  only  ? They are present in benign tumors of salivary glands,  thyroid, parathyroid, kidney, lung and pitui 110."
Which of the following is a pathological calcification,Ans. (a) Suprasellar calcification,(Ref: J Pediatr Neurosci. 2011 Oct; 6 (Suppl1): S46?S55)   Suprasellar calcifications are always pathological    Other 3 can be physiological as well 111.
Highest telomerase activity is seen in,Ans. (c) Germ cells,(Ref: Robbins 9th/pg 67; 8th/pg 40) 112.
True regarding sirtuin functions a. Decrease metabolic activity,Ans. (a) Decrease metabolic activity,"(Ref: R 9th/pg 67, 68)  ? Sirutuins: These include proteins that inhibit metabolic  activityQ, reduce apoptosisQ, stimulate protein foldingQ,  inhibit the harmful effects of oxygen free radicalsQ and  activating DNA repair enzymes through deacylationQ 113."
Werner disease is associated with,Ans. (d) Premature ageing,(Ref: R 9th/pg 66; 8th/pg 40) Syndromes associated with defective DNA repair Defective DNA  helicase | Werner syndromeQ  (Premature aging) Defective DNA repair syndromesQ | BAX-F Bloom SyndromeQ Ataxia TelangiectasiaQ Xeroderma PigmentosaQ Fanconi AnemiaQ 114.
Sirtuin is associated with,Ans. (d) All of the above,"(Ref: Robbins 9th/pg 67,68)   Sirutuins   ? Family of NAD-dependent protein deacetylases.  ? Sirtuin-6Q promotes the expression of genes whose  products increase longevity.  ? Since these protiens increase longevity, activate DNA  repair enzymes so prevent against cancer   Sirtuins also increase insulin sensitivity and glucose me- tabolism, and may be targets for the treatment of diabetes. 115."
Which of the following is associated with aging a. Reduced cross linkages in collagen,Ans. (b) Increased free radical injury,"(Ref: Robbins 9th/pg 66-68; 8th/pg 39, 40) 116."
Organelle where H2O2 is produced and destroyed is,Ans. (a) Peroxisome 117.,No explanation provided.
The enzyme that protects brain from free radical injury,Ans. (a) Superoxide dismutase,(Ref: Robbins 9th/pg 48)   Superoxide dismutase is an antioxidant and known to  protect brain from free radical injury  118.
Which of the following is true about glutathione & glutathione peroxidase,"Ans. (a, b, c); a. Act as scavenger of free radicle;   b. Glutathione has anti-oxidant property; c. Reduced  glutathione can chemically detoxify H2O2","(Ref: Robbins 9th/pg 48; 8th/pg 13,14)  ? Glutathione peroxidase: H2O2 + 2GSH ? GSSG + 2H2O  ? Reduced glutathione can chemically detoxify H2O2 Complete Review of Pathology 48 Answers with Explanations  ? Intracellular ratio of oxidized glutathione (GSSG) to  reduced glutathione (GSH) is a reflection of the oxidative  state of the cell   ? Important indicator of the cell?s ability to detoxify ROS. 119."
Vasoconstricttion in acute inflammation shown by,"Ans. (a, e); a. Increased serum immunoglobulin level;  e. Increased level of C-reactive protein",(Ref: Robbins 9th/pg 99) 2.
SIRS diagnostic criteria. Wrong statement is,"Ans. (c) 1-b, 2-c, 3-a 3.",No explanation provided.
Eosinophillia is found in,Ans. (c) Histamine,(Ref: to answer number 13) 4.
Severe infection will increase if absolute neutrophil count will become,Ans. (c) Plasma cell,"(Ref: Wintrobes 13ed/pg 303; Wintrobes Atlas)   Plasma cells are spherical or ellipsoid and range from 5  to 30 ?m in size. The cytoplasm is abundant, always is  basophilic, and usually is deep blue; it may have a granular  char- acter. Plasma cells have a well-defined perinuclear  clear zone that contains the Golgi apparatus. 5."
